,Dates,Score,Change in SPY,predicted_change,true_change
447,10/11/21,0.4011,-3.16998291,1.5070614,-30.24465405250804
448,10/12/21,1.60617221,-1.070007324,1.515228,-11.431655735794074
449,10/13/21,2.26850845,1.559997559,1.510364,12.129702675554865
450,10/14/21,3.661103789,7.320007324,1.5067642,63.731756878294064
451,10/15/21,3.01646789,3.369995117,1.5040119,28.34488214665106
452,10/19/21,1.207401,1.320007324,1.5064484,9.979708210294074
453,10/20/21,4.275866,3.450012207,1.5068024,29.06172923264301
454,10/21/21,3.51492433,1.769989014,1.5085608,14.010947827058889
455,10/22/21,2.5368663,1.179992676,1.5154608,8.725362514705925
456,10/25/21,0.408463456,-0.470001221,1.5193175,-6.056396194201903
457,10/26/21,3.24597789,2.429992676,1.5291355,19.923705987205924
458,10/27/21,2.856539457,0.410003662,1.5386481,1.8272813556470366
459,10/28/21,1.471828,-2.019989014,1.5423478,-19.94223274155889
460,10/29/21,4.1452537,4.380004883,1.542571,37.39323116284894
461,11/1/21,0.02021003,0.929992676,1.5374507,6.485693820205925
462,11/2/21,2.881701,0.790008545,1.5347017,5.231621516495977
463,11/3/21,2.50860689,1.859985352,1.5383568,14.81719575041185
464,11/4/21,4.52222,2.820007324,1.5298681,23.417720377294074
465,11/5/21,4.49067089,2.190002441,1.5255562,17.77371152194513
466,11/8/21,-0.5983,1.619995117,1.5269412,12.667201285151057
467,11/9/21,1.608305,0.399993896,1.5368464,1.737607117449155
468,11/10/21,1.83458189,-1.549987793,1.5347508,-15.731644657356982
469,11/11/21,1.20478835,-3.760009766,1.5331502,-35.53051276569788
470,11/12/21,2.048301,0.149993896,1.5353622,-0.5020615770508452
471,11/15/21,1.03,3.5,1.5260186,29.509553612999998
472,11/16/21,1.696103,0.160003662,1.531665,-0.4123873388529632
473,11/17/21,3.42149277,1.850006104,1.5250839,14.727794913050843
474,11/18/21,0.447675,-1.139984131,1.5203494,-12.058555191709948
475,11/19/21,2.21265,1.589996338,1.5085455,12.398451980352961
476,11/22/21,-0.44969,-0.839996338,1.4981349,-9.371062116852961
477,11/23/21,2.5273,-1.320007324,1.5074486,-13.671324430294074
478,11/24/21,1.7034394,0.619995117,1.5071055,3.7085265071510585
479,11/26/21,1.329701,1.25,1.5056399,9.3525353625
