,Data,Positive Score,Negative Score,Neutral Score,Change in SPY,predicted_change,true_change
366,6/16/21,5.928531885,16.02181,41.04925129,-2.370025635,0.23262976,-4.739990234
367,6/17/21,7.340073049,22.733201,43.65921238,-0.139984131,0.32053968,-0.410003662
368,6/18/21,10.18570793,15.94312564,57.50027448,-7.049987793,0.08965283,-1.440002441
369,6/21/21,2.181448877,6.558961332,23.18421274,5.939971924,0.30354065,-2.770019531
370,6/22/21,5.87216273,21.79608065,30.74159503,2.25,0.32147628,3.449981689
371,6/23/21,5.143869162,13.76030293,37.43083876,-0.509979248,0.28716868,-15.80999756
372,6/24/21,4.61952126,13.05246097,47.447487,2.5,0.24868287,-7.739990234
373,6/25/21,7.157439828,10.68681672,50.73701769,1.509979248,0.09210959,2.25
374,6/28/21,2.952086151,9.092425078,24.87603688,0.860015869,0.19694291,6.050018311
375,6/29/21,7.333695233,12.26056442,36.03524691,0.230010986,0.2549786,3.5
376,6/30/21,10.39643934,15.33946678,33.68822715,0.359985352,0.09977398,0.160003662
377,7/1/21,5.850544542,21.92544511,47.41250595,2.369995117,0.14520517,7.070007324
378,7/2/21,14.69166911,17.10380453,63.33178607,3.290008545,0.2825391,-0.839996338
379,7/6/21,5.156543314,16.24798834,22.48806545,-0.790008545,0.2794602,-1.139984131
380,7/7/21,10.27936098,20.11527157,36.72120929,1.529998779,0.29348534,-1.929992676
381,7/8/21,10.68332678,13.73880512,45.12863809,-3.539978027,0.23178023,3.760009766
382,7/9/21,8.259833336,10.95901644,56.84974509,4.599975586,0.10620587,1.25
383,7/12/21,2.475154579,4.076616585,25.03975657,1.559997559,0.24331018,1.769989014
384,7/13/21,7.529954612,17.25063819,47.50954959,-1.489990234,0.14940141,2.429992676
385,7/14/21,11.76575285,21.77643514,41.21272793,0.649993896,0.1443889,5.630004883
386,7/15/21,10.35232985,11.65225503,44.34916675,-1.489990234,0.24800763,3.989990234
387,7/16/21,7.100636244,24.3061384,51.62699991,-3.410003662,0.27823216,12.67999268
388,7/19/21,2.932169974,10.64049214,21.83994764,-6.369995117,0.31008923,2.910003662
389,7/20/21,9.023836553,23.15028161,40.5779978,6.089996338,0.28315482,-4.440002441
390,7/21/21,4.89080748,15.25186795,45.89514637,3.489990234,0.14580393,5.369995117
391,7/22/21,8.792754471,17.5648945,40.50935316,0.910003662,0.23456134,-2.649993896
392,7/23/21,8.09436962,17.17311123,41.8047623,4.480010986,0.281256,-5.0
393,7/26/21,2.986265004,11.60496625,17.97111446,1.079986572,0.056440044,-2.009979248
394,7/27/21,7.203399122,14.67944282,36.50636655,-2.009979248,0.2324748,0.679992676
395,7/28/21,15.57325166,15.39622506,39.68481135,-0.180023193,0.31487697,-2.180023193
396,7/29/21,12.50214177,15.97908846,40.90630895,1.820007324,0.2539483,2.25
397,7/30/21,9.735755563,21.75783587,51.33357027,-2.139984131,0.2789292,-0.800018311
398,8/2/21,3.532886386,9.776806742,18.1626963,-0.920013428,0.25478822,4.239990234
399,8/3/21,3.995524168,18.15060893,33.68671322,3.559997559,0.268304,1.820007324
400,8/4/21,10.03176647,16.61510724,40.11020324,-2.16998291,0.21987945,-0.549987793
